Estado;Tipo de crimen;Ocurrencias;Fecha
Ceará;Lesiones corporales seguidas de muerte;3;01/05/2022
Ceará;Robo a entidad financiera;0;01/05/2022
Ceará;Robo de mercancía;5;01/05/2022
Ceará;Robo de vehiculo;626;01/05/2022
Ceará;Robo seguido de muerte;1;01/05/2022
Ceará;Tentativa de homicidio;79;01/05/2022
Ceará;Violación;142;01/06/2022
Ceará;Hurto en el vehículo;513;01/06/2022
Ceará;Homicidio doloso;203;01/06/2022
Ceará;Lesiones corporales seguidas de muerte;2;01/06/2022
Ceará;Robo a entidad financiera;1;01/06/2022
Ceará;Robo de mercancía;8;01/06/2022
Ceará;Robo de vehiculo;576;01/06/2022
Ceará;Robo seguido de muerte;3;01/06/2022
Ceará;Tentativa de homicidio;73;01/06/2022
Ceará;Violación;157;01/07/2022
Ceará;Hurto en el vehículo;464;01/07/2022
Ceará;Homicidio doloso;229;01/07/2022
Ceará;Lesiones corporales seguidas de muerte;5;01/07/2022
Ceará;Robo a entidad financiera;0;01/07/2022
Ceará;Robo de mercancía;6;01/07/2022
Ceará;Robo de vehiculo;618;01/07/2022
Ceará;Robo seguido de muerte;5;01/07/2022
Ceará;Tentativa de homicidio;78;01/07/2022
Ceará;Violación;192;01/08/2022
Ceará;Hurto en el vehículo;549;01/08/2022
Ceará;Homicidio doloso;230;01/08/2022
Ceará;Lesiones corporales seguidas de muerte;0;01/08/2022
Ceará;Robo a entidad financiera;2;01/08/2022
Ceará;Robo de mercancía;8;01/08/2022
Ceará;Robo de vehiculo;626;01/08/2022
Ceará;Robo seguido de muerte;3;01/08/2022
Ceará;Tentativa de homicidio;77;01/08/2022
Ceará;Violación;185;01/09/2022
Ceará;Hurto en el vehículo;482;01/09/2022
Ceará;Homicidio doloso;224;01/09/2022
Ceará;Lesiones corporales seguidas de muerte;1;01/09/2022
Ceará;Robo a entidad financiera;1;01/09/2022
Ceará;Robo de mercancía;11;01/09/2022
Ceará;Robo de vehiculo;669;01/09/2022
Ceará;Robo seguido de muerte;5;01/09/2022
Ceará;Tentativa de homicidio;82;01/09/2022
Distrito Federal;Violación;48;01/01/2022
Distrito Federal;Hurto en el vehículo;286;01/01/2022
Distrito Federal;Homicidio doloso;14;01/01/2022
Distrito Federal;Lesiones corporales seguidas de muerte;0;01/01/2022
Distrito Federal;Robo a entidad financiera;0;01/01/2022
Distrito Federal;Robo de mercancía;3;01/01/2022
Distrito Federal;Robo de vehiculo;128;01/01/2022
Distrito Federal;Robo seguido de muerte;2;01/01/2022
Distrito Federal;Tentativa de homicidio;40;01/01/2022
Distrito Federal;Violación;50;01/02/2022
Distrito Federal;Hurto en el vehículo;251;01/02/2022
Distrito Federal;Homicidio doloso;25;01/02/2022
Distrito Federal;Lesiones corporales seguidas de muerte;1;01/02/2022
Distrito Federal;Robo a entidad financiera;0;01/02/2022
Distrito Federal;Robo de mercancía;3;01/02/2022
Distrito Federal;Robo de vehiculo;143;01/02/2022
Distrito Federal;Robo seguido de muerte;0;01/02/2022
Distrito Federal;Tentativa de homicidio;32;01/02/2022
Distrito Federal;Violación;50;01/03/2022
Distrito Federal;Hurto en el vehículo;296;01/03/2022
Distrito Federal;Homicidio doloso;20;01/03/2022
Distrito Federal;Lesiones corporales seguidas de muerte;1;01/03/2022
Distrito Federal;Robo a entidad financiera;0;01/03/2022
Distrito Federal;Robo de mercancía;0;01/03/2022
Distrito Federal;Robo de vehiculo;143;01/03/2022
Distrito Federal;Robo seguido de muerte;2;01/03/2022
Distrito Federal;Tentativa de homicidio;50;01/03/2022
Distrito Federal;Violación;64;01/04/2022
Distrito Federal;Hurto en el vehículo;381;01/04/2022
Distrito Federal;Homicidio doloso;16;01/04/2022
Distrito Federal;Lesiones corporales seguidas de muerte;0;01/04/2022
Distrito Federal;Robo a entidad financiera;0;01/04/2022
Distrito Federal;Robo de mercancía;2;01/04/2022
Distrito Federal;Robo de vehiculo;131;01/04/2022
Distrito Federal;Robo seguido de muerte;2;01/04/2022
Distrito Federal;Tentativa de homicidio;59;01/04/2022
Distrito Federal;Violación;51;01/05/2022
Distrito Federal;Hurto en el vehículo;373;01/05/2022
Distrito Federal;Homicidio doloso;19;01/05/2022
Distrito Federal;Lesiones corporales seguidas de muerte;0;01/05/2022
Distrito Federal;Robo a entidad financiera;0;01/05/2022
Distrito Federal;Robo de mercancía;4;01/05/2022
Distrito Federal;Robo de vehiculo;135;01/05/2022
Distrito Federal;Robo seguido de muerte;2;01/05/2022
Distrito Federal;Tentativa de homicidio;40;01/05/2022
Distrito Federal;Violación;60;01/06/2022
Distrito Federal;Hurto en el vehículo;410;01/06/2022
Distrito Federal;Homicidio doloso;20;01/06/2022
Distrito Federal;Lesiones corporales seguidas de muerte;0;01/06/2022
Distrito Federal;Robo a entidad financiera;1;01/06/2022
Distrito Federal;Robo de mercancía;0;01/06/2022
Distrito Federal;Robo de vehiculo;124;01/06/2022
Distrito Federal;Robo seguido de muerte;1;01/06/2022
Distrito Federal;Tentativa de homicidio;32;01/06/2022
Distrito Federal;Violación;61;01/07/2022
Distrito Federal;Hurto en el vehículo;0;01/07/2022
Distrito Federal;Homicidio doloso;26;01/07/2022
Distrito Federal;Lesiones corporales seguidas de muerte;0;01/07/2022
Distrito Federal;Robo a entidad financiera;0;01/07/2022
Distrito Federal;Robo de mercancía;0;01/07/2022
Distrito Federal;Robo de vehiculo;123;01/07/2022
Distrito Federal;Robo seguido de muerte;0;01/07/2022
Distrito Federal;Tentativa de homicidio;31;01/07/2022
Distrito Federal;Violación;94;01/08/2022
Distrito Federal;Hurto en el vehículo;276;01/08/2022
Distrito Federal;Homicidio doloso;19;01/08/2022
Distrito Federal;Lesiones corporales seguidas de muerte;0;01/08/2022
Distrito Federal;Robo a entidad financiera;0;01/08/2022
Distrito Federal;Robo de mercancía;0;01/08/2022
Distrito Federal;Robo de vehiculo;97;01/08/2022
Distrito Federal;Robo seguido de muerte;2;01/08/2022
Distrito Federal;Tentativa de homicidio;34;01/08/2022
Distrito Federal;Violación;61;01/09/2022
Distrito Federal;Hurto en el vehículo;251;01/09/2022
Distrito Federal;Homicidio doloso;21;01/09/2022
Distrito Federal;Lesiones corporales seguidas de muerte;1;01/09/2022
Distrito Federal;Robo a entidad financiera;0;01/09/2022
Distrito Federal;Robo de mercancía;0;01/09/2022
Distrito Federal;Robo de vehiculo;119;01/09/2022
Distrito Federal;Robo seguido de muerte;1;01/09/2022
Distrito Federal;Tentativa de homicidio;51;01/09/2022
Espírito Santo;Violación;114;01/01/2022
Espírito Santo;Hurto en el vehículo;392;01/01/2022
Espírito Santo;Homicidio doloso;88;01/01/2022
Espírito Santo;Lesiones corporales seguidas de muerte;1;01/01/2022
Espírito Santo;Robo a entidad financiera;3;01/01/2022
Espírito Santo;Robo de mercancía;2;01/01/2022
Espírito Santo;Robo de vehiculo;363;01/01/2022
Espírito Santo;Robo seguido de muerte;1;01/01/2022
Espírito Santo;Tentativa de homicidio;201;01/01/2022
Espírito Santo;Violación;120;01/02/2022
Espírito Santo;Hurto en el vehículo;361;01/02/2022
Espírito Santo;Homicidio doloso;68;01/02/2022
Espírito Santo;Lesiones corporales seguidas de muerte;0;01/02/2022
Espírito Santo;Robo a entidad financiera;5;01/02/2022
Espírito Santo;Robo de mercancía;3;01/02/2022
Espírito Santo;Robo de vehiculo;287;01/02/2022
Espírito Santo;Robo seguido de muerte;9;01/02/2022
Espírito Santo;Tentativa de homicidio;199;01/02/2022
Espírito Santo;Violación;153;01/03/2022
Espírito Santo;Hurto en el vehículo;447;01/03/2022
Espírito Santo;Homicidio doloso;80;01/03/2022
Espírito Santo;Lesiones corporales seguidas de muerte;3;01/03/2022
